title,artist,top genre,genre simplified,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity
Escapism.,RAYE,other,R&B,2022,96,74,54,-5,9,25,272,14,11,91
Ojitos Lindos,Bad Bunny,reggaeton,reggaeton,2022,80,69,65,-6,53,27,258,8,4,91
Search & Rescue,Drake,canadian hip hop,hip hop,2023,142,44,82,-8,33,54,272,6,7,91
Unholy (feat. Kim Petras),Sam Smith,pop,pop,2022,131,47,71,-7,27,24,157,1,9,91
Ditto,NewJeans,other,pop,2022,134,64,81,-6,10,18,186,3,11,90
Efecto,Bad Bunny,reggaeton,reggaeton,2022,98,48,80,-9,6,23,213,14,5,90
golden hour,JVKE,other,pop,2022,94,59,52,-5,25,15,209,65,3,90
La Bachata,Manuel Turizo,colombian pop,pop,2022,125,68,84,-5,22,85,163,58,4,90
Last Night,Morgan Wallen,contemporary country,other,2023,204,68,52,-5,15,52,164,46,4,90
Made You Look,Meghan Trainor,hip pop,pop,2022,145,53,84,-4,8,88,134,35,7,90
Nonsense,Sabrina Carpenter,pop,pop,2022,139,70,74,-5,22,73,164,3,3,90
Rich Flex,Drake,canadian hip hop,hip hop,2022,153,52,56,-9,36,42,239,5,24,90
Tití Me Preguntó,Bad Bunny,reggaeton,reggaeton,2022,107,72,65,-5,13,19,244,10,25,90
Yandel 150,Yandel,other,hip hop,2023,168,73,78,-4,10,58,216,5,7,90
Double Fantasy (with Future),The Weeknd,canadian contemporary r&b,R&B,2023,119,57,60,-7,50,10,268,1,3,89
Eyes Closed,Ed Sheeran,pop,pop,2023,107,53,78,-6,11,39,195,30,6,89
Late Night Talking,Harry Styles,pop,pop,2022,115,73,71,-5,11,90,178,30,5,89
Lavender Haze,Taylor Swift,pop,pop,2022,97,44,73,-10,16,10,202,26,8,89
Never Felt So Alone,Labrinth,other,pop,2023,98,41,44,-4,38,36,160,50,5,89
Ghost,Justin Bieber,canadian pop,pop,2021,154,74,60,-6,42,44,153,19,5,88
Moscow Mule,Bad Bunny,reggaeton,reggaeton,2022,100,67,80,-5,12,29,246,29,3,88
Shivers,Ed Sheeran,pop,pop,2021,141,86,79,-3,4,82,208,28,9,88
Bad Habits,Ed Sheeran,pop,pop,2021,126,89,81,-4,37,54,231,5,3,87
Happier Than Ever,Billie Eilish,art pop,pop,2021,81,23,33,-9,13,30,299,77,3,87
Heaven,Niall Horan,pop,pop,2023,92,76,57,-3,33,68,186,7,3,87
La Jumpa,Arcángel,other,hip hop,2022,140,23,89,-15,13,20,197,11,18,87
LET GO,Central Cee,other,other,2022,146,45,74,-10,21,51,176,86,38,87
STAY (with Justin Bieber),The Kid LAROI,other,hip hop,2021,170,76,59,-5,10,48,142,4,5,87
traitor,Olivia Rodrigo,pop,pop,2021,101,34,38,-8,12,8,229,69,3,87
Where Are You Now,Lost Frequencies,other,other,2021,121,64,67,-8,17,26,148,52,10,87
Woman,Doja Cat,dance pop,pop,2021,108,76,82,-4,12,88,173,9,9,87
Cold Heart - PNAU Remix,Elton John,other,rock,2021,116,80,80,-6,10,94,203,3,3,86
deja vu,Olivia Rodrigo,pop,pop,2021,181,61,44,-7,37,18,216,58,11,86
drivers license,Olivia Rodrigo,pop,pop,2021,144,43,56,-9,11,14,242,77,6,86
Fair Trade (with Travis Scott),Drake,canadian hip hop,hip hop,2021,168,47,67,-9,22,29,291,5,26,86
FLOWER,JISOO,other,pop,2023,124,38,84,-8,7,60,173,2,4,86
Glimpse of Us,Joji,other,pop,2022,170,32,44,-9,14,27,233,89,5,86
good 4 u,Olivia Rodrigo,pop,pop,2021,167,66,56,-5,8,69,178,34,15,86
Kill Bill (feat. Doja Cat),SZA,pop,pop,2023,89,74,63,-6,19,45,176,8,4,86
Nobody Gets Me,SZA,pop,pop,2022,100,28,36,-8,18,28,181,81,3,86
STAY (with Justin Bieber),The Kid LAROI,other,hip hop,2021,170,76,59,-5,10,48,142,4,5,86
Una Noche en Medellín,Cris Mj,other,other,2022,96,55,87,-5,5,83,154,9,8,86
Until I Found You,Stephen Sanchez,other,songwriter,2021,101,51,54,-6,17,23,178,73,3,86
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,pop,pop,2021,93,52,63,-9,9,21,613,27,3,85
Belly Dancer,Imanbek,other,other,2022,122,80,85,-5,17,42,151,6,14,85
happier,Olivia Rodrigo,pop,pop,2021,169,44,40,-10,8,34,176,77,13,85
Yonaguni,Bad Bunny,reggaeton,reggaeton,2021,180,65,64,-5,14,44,207,28,12,85
abcdefu,GAYLE,other,pop,2021,122,54,70,-6,37,42,169,30,5,84
Easy On Me,Adele,british soul,other,2021,142,37,60,-8,13,13,225,58,3,84
I WANNA BE YOUR SLAVE,Måneskin,other,rock,2021,133,61,75,-4,18,96,173,0,4,84
In Ha Mood,Ice Spice,other,other,2023,141,74,77,-7,23,53,129,70,34,84
Leave Before You Love Me (with Jonas Brothers),Marshmello,other,other,2021,120,74,72,-5,12,64,155,0,4,84
Party,Bad Bunny,reggaeton,reggaeton,2022,97,80,83,-5,24,47,228,2,9,84
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,canadian pop,pop,2021,90,70,68,-6,42,46,198,32,12,84
Pepas,Farruko,reggaeton,reggaeton,2021,130,77,76,-4,13,44,287,1,3,84
PROVENZA,KAROL G,reggaeton,reggaeton,2022,111,52,87,-8,11,53,210,66,5,84
Tarot,Bad Bunny,reggaeton,reggaeton,2022,114,68,80,-4,66,42,238,2,4,84
THATS WHAT I WANT,Lil Nas X,other,hip hop,2021,88,85,74,-5,5,55,144,1,22,84
The Motto,Tiësto,big room,other,2021,118,76,75,-5,9,46,165,3,4,84
Desesperados,Rauw Alejandro,other,pop,2021,90,69,87,-3,9,51,225,36,8,83
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,modern rock,rock,2021,77,78,73,-4,43,56,173,24,27,83
First Class,Jack Harlow,other,hip hop,2022,107,58,90,-6,11,33,174,11,11,83
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,other,hip hop,2021,150,70,74,-7,5,89,212,2,6,83
Leave The Door Open,Bruno Mars,dance pop,pop,2021,148,62,59,-8,9,72,242,18,3,83
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,other,reggaeton,2021,170,70,64,-6,9,14,207,9,8,83
Mood (feat. iann dior),24kGoldn,other,rap,2021,91,72,70,-4,32,73,141,17,4,83
Moth To A Flame (with The Weeknd),Swedish House Mafia,edm,other,2021,120,66,55,-7,11,11,234,0,4,83
My Universe,Coldplay,permanent wave,other,2021,105,70,59,-6,20,44,228,1,4,83
My Universe,Coldplay,permanent wave,other,2021,105,71,57,-6,33,47,226,1,4,83
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,canadian contemporary r&b,R&B,2021,118,83,65,-5,9,59,191,2,3,83
You Right,Doja Cat,dance pop,pop,2021,129,62,83,-6,8,44,186,2,6,83
About Damn Time,Lizzo,other,other,2022,109,74,84,-6,34,72,192,10,7,82
Bam Bam (feat. Ed Sheeran),Camila Cabello,dance pop,pop,2022,95,70,76,-6,33,96,206,18,4,82
Kiss Me More (feat. SZA),Doja Cat,dance pop,pop,2021,111,71,76,-3,12,78,209,26,3,82
Love Story (Taylor’s Version),Taylor Swift,pop,pop,2021,119,79,63,-4,10,42,236,14,3,82
RAPSTAR,Polo G,chicago rap,rap,2021,81,54,79,-7,13,44,166,41,24,82
Reckless,Madison Beer,pop,pop,2021,180,43,39,-7,14,26,203,81,4,82
Sunshine,OneRepublic,piano rock,rock,2021,140,88,70,-5,28,77,164,14,3,82
What You Know Bout Love,Pop Smoke,other,other,2021,84,55,71,-8,13,54,160,65,35,82
